"seqnames","start","end","strand","name","idx","Log2FC","FDR","MeanDiff"
"chr15",102990539,102994254,1,"Hoxc8",890,-1.40294041971362,2.89362720341065e-06,-3.69990241752353
"chr5",35388476,35379152,2,"E130018O15Rik",277,-1.28451257766515,2.9393167113168e-06,-3.16515359335693
"chrX",163761332,163760139,2,"Rnf138rt1",1006,-1.07500208340785,3.0804851482754e-06,-2.74727964344295
"chr2",105126510,105076538,2,"Wt1os",1098,-1.15473579074298,3.1044420856831e-06,-1.87512789302332
"chrX",168795099,169304440,1,"Arhgap6",1037,-1.09170547096601,3.15966291043262e-06,-3.4571546330664
"chr4",115056426,115071755,1,"Tal1",699,-2.12596541455907,3.33962716808289e-06,-3.16995273990911
"chr19",43524605,43499752,2,"Got1",619,-1.03098144995296,3.4408356067335e-06,-1.22035110968463
"chr2",147186402,147177546,2,"Nkx2-2",1534,-1.1749641174588,3.45143172944801e-06,-3.03747907606495
"chr3",129199878,129219594,1,"Pitx2",957,-1.04264699153223,3.45143172944801e-06,-3.45638126172151
"chr5",41708179,41624973,2,"Rab28",324,-1.45722071468981,3.45143172944801e-06,-0.60107551777286
"chr19",59219648,59237370,1,"Kcnk18",778,-1.29471933614187,3.50071298873373e-06,-0.755675951111939
"chrX",168673902,168653099,2,"Msl3",1036,-1.46701325648691,3.90384429851452e-06,-1.42800175791659
"chr8",71689252,71690577,1,"Insl3",553,-1.55118839643794,4.06571014118289e-06,-3.49797835642986
"chr1",19103022,19166338,1,"Tfap2d",69,-2.80600194871345,4.17211572249828e-06,-1.64370162287862
"chr14",12345865,12341892,2,"Fezf2",43,-1.45292616849863,4.49603874119677e-06,-4.04680448790937
"chrX",138914430,139009092,1,"Nrk",843,-1.8873066305945,4.62024271260486e-06,-1.17925066856615
"chr2",74716130,74710044,2,"Hoxd3os1",679,-1.68021204128744,4.68456743839094e-06,-3.27537899194479
"chrX",159988433,160123351,1,"Map3k15",987,-1.04419555985598,4.7040898907382e-06,-1.2455018700871
"chrX",94212651,94188709,2,"Eif2s3x",588,-1.16351900125836,4.93205243541699e-06,-1.44122673698969
"chr11",96133786,96165452,1,"Ttll6",1209,-1.02154187614583,5.69694494874731e-06,-2.27767815058236
"chr5",128433077,127783491,2,"Tmem132d",1034,-1.31075741408261,5.75609448169623e-06,-1.19312532409854
"chr2",147362793,147361541,2,"AI646519",1538,-1.44098285605223,5.83645046298597e-06,-4.49688080575675
"chr12",56591059,56594554,1,"C87198",246,-1.57975724713641,6.43878551023077e-06,-1.38527628403364
"chr5",35389117,35392872,1,"Hmx1",278,-1.11385444944587,7.28275130574961e-06,-4.41592921842124
"chrX",105165505,105164378,2,"E530001F21Rik",694,-1.19758364884202,7.60790755796537e-06,-2.7455305801269
"chr15",103018936,103036852,1,"Hoxc4",894,-1.2027026248719,7.71717638714002e-06,-5.9944809910166
"chr18",76856405,76900342,1,"Skor2",542,-1.35761506940773,7.81980174480368e-06,-1.99065129504694
"chrX",129749742,130465834,1,"Diaph2",764,-1.32852497069266,7.81980174480368e-06,-1.05700050130798
"chr8",91313525,91668433,1,"Fto",743,-1.35057602974779,8.11258808556867e-06,-1.38315087820501
"chrX",151803282,151935417,1,"Huwe1",928,-1.21813049637041,8.11258808556867e-06,-1.4434768588978
"chr5",28467101,28456840,2,"Shh",161,-1.18123696550891,8.38226058673954e-06,-1.90137689258425
"chr9",74848437,74889648,1,"Gm16551",824,-1.290019497805,8.69978252906496e-06,-2.35607862934061
"chrX",140456603,140476140,1,"Prps1",860,-1.18765483695152,8.92932499240644e-06,-1.1545762169467
"chrX",140813433,140808307,2,"Tex13b",863,-1.14433365100281,8.92932499240644e-06,-1.6117017616666
"chr2",147187424,147188482,1,"6430503K07Rik",1536,-1.10428672561401,9.42760854426988e-06,-4.58190792270028
"chrX",161117193,161258213,1,"Scml2",995,-1.19438981929059,1.0082060294152e-05,-1.67995264649198
"chr6",52012549,51859165,2,"Skap2",373,-1.25934895228588,1.14469196039343e-05,-1.77970197835696
"chr5",119670862,119684724,1,"Tbx3",903,-1.47401242875208,1.16577579334019e-05,-4.19565671355719
"chr9",87731260,87702800,2,"Tbx18",908,-1.50239670590254,1.17277755121912e-05,-1.57970065272316
"chr18",42394597,42396093,1,"Pou4f3",305,-1.09173703177002,1.17495627887587e-05,-3.322276437292
"chr19",45075241,45079289,1,"Kazald1",657,-1.14606873397688,1.18876442182618e-05,-1.03435052733443
"chrX",169779635,169776378,2,"4933400A11Rik",1042,-1.57514799795927,1.22660073164435e-05,-1.73972625605447
"chr7",49975350,50863289,1,"Nell1",1012,-1.14311508391123,1.3225300923593e-05,-0.957250851831394
"chrX",158043197,157821573,2,"Cnksr2",981,-1.80271936658868,1.43696940920913e-05,-0.916925577540514
"chr5",147188696,147190947,1,"Gsx1",1337,-1.11498136280059,1.44149688182736e-05,-3.43477782854802
"chr1",20618057,20057779,2,"Pkhd1",71,-1.89463644493916,1.44465883703871e-05,-0.791700282947524
"chrX",142966728,142853474,2,"Ammecr1",877,-1.15540879667207,1.5175318817936e-05,-1.41837720119758
"chrX",13071498,13173328,1,"Usp9x",118,-1.74387405220002,1.52190449971634e-05,-1.19557647345993
"chr6",38354603,38307188,2,"Zc3hav1",204,-2.1082028982567,1.69688365995547e-05,-0.843201154388098
"chr7",49759106,49773999,1,"Htatip2",1009,-2.41831393151548,1.74099995557443e-05,-2.66235489066188
"chr2",105126529,105173614,1,"Wt1",1099,-1.08325975830742,1.77758886195118e-05,-1.92187789658695
"chr2",19446674,19441508,2,"Ptf1aos",140,-1.48957768105265,1.96014697967376e-05,-3.18970308986525
"chr1",74893143,74889934,2,"Cryba2",427,-1.5115213474982,2.35108033243866e-05,-2.28130198495542
"chr12",111442661,111455018,1,"Tnfaip2",757,-1.53415655479557,2.35108033243866e-05,-1.59507606773309
"chrX",167382749,167346320,2,"Prps2",1034,-1.00023994680946,2.35108033243866e-05,-1.13422689659981
"chr17",85090700,85458580,1,"Camkmt",1143,-1.27659463730552,2.44453952154684e-05,-2.36475380848615
"chr8",94179089,94180327,1,"Mt1",770,-1.55660883270333,2.57448824259859e-05,-2.40435194009842
"chr14",12823079,12372563,2,"Cadps",44,-1.68462086381056,2.6143674160088e-05,-1.5386765129697
"chr8",57332435,57354580,1,"5033428I22Rik",399,-1.41822695728552,2.93077292037927e-05,-4.37995551431212
"chr15",102936853,102938517,1,"Hoxc12",884,-1.11693245420475,2.98520074195076e-05,-4.74732911128763
"chr17",8434423,8442496,1,"T",52,-1.06586564374884,3.39011572675399e-05,-2.14005238278884
"chr3",99253760,99354260,1,"Tbx15",725,-1.07007930506608,3.39011572675399e-05,-2.24747829595569
"chrX",161717036,161779494,1,"Rai2",996,-1.02708620795696,3.4610092588343e-05,-1.5944026242255
"chrX",157415286,157162075,2,"Phex",974,-1.57579297684285,3.50442973414777e-05,-1.22197610624325
"chr16",91269769,91271939,1,"Olig1",695,-1.23119861238315,3.52462724749037e-05,-5.38727962967937
"chr5",67099126,67094397,2,"Phox2b",425,-1.15220714781602,3.63439154546261e-05,-3.25020425166738
"chr12",110279230,110281097,1,"Dio3",734,-1.13440884421775,3.66511113128268e-05,-2.32970278797885
"chr10",73099342,74649737,1,"Pcdh15",429,-1.67851884816669,3.66725634539337e-05,-0.954900289823199
"chrX",166585716,166523007,2,"Egfl6",1028,-1.30909516987666,3.71704455535923e-05,-1.62280250484208
"chr19",58943425,58971421,1,"Eno4",775,-1.73737790335289,3.79457099429352e-05,-1.04465115459066
"chr7",49910299,49959493,1,"Slc6a5",1011,-1.38730814050063,3.79457099429352e-05,-1.76177715510099
"chr1",121087405,121120975,1,"Celrr",718,-1.42137508688402,3.81572928746914e-05,-0.606450573579175
"chrX",152001896,152004442,1,"Hsd17b10",932,-1.25027865248302,3.84264150204681e-05,-2.04862732171813
"chr1",120602487,120607991,1,"En1",717,-1.07931834712406,3.96182884834909e-05,-4.86920510610689
"chr11",96303512,96306121,1,"Hoxb5",1219,-1.13089071130616,4.32531693649839e-05,-4.19858049427206
"chr6",105677745,106699305,1,"Cntn4",797,-1.54489663518898,4.32531693649839e-05,-0.630775264756673
"chr6",8948614,9248578,1,"Nxph1",43,-1.32545276760842,4.35606114927342e-05,-0.735775206085063
"chr12",49385174,49407346,1,"3110039M20Rik",201,-1.36506299855148,4.58643196943363e-05,-2.01960220244269
"chrX",141475419,141689235,1,"Col4a5",868,-1.14116473958773,4.66415154731258e-05,-1.14217628457484
"chr1",74951672,74945315,2,"Ihh",430,-1.11016183392416,4.71173029009068e-05,-1.9118520798306
"chrX",144688907,145122410,1,"Rtl4",889,-1.62081951548114,4.83737319943756e-05,-1.59040178145314
"chrX",139684996,139754218,1,"Tbc1d8b",851,-1.29058325151095,4.98395631596692e-05,-0.787276599023677
"chr9",89826519,89864028,1,"4930524O08Rik",928,-1.32553534444449,5.75282373038325e-05,-0.541500219221476
"chr19",59170029,59164485,2,"Vax1",777,-1.16431620268773,6.15544717314512e-05,-4.2405810700673
"chrX",152233227,152279102,1,"Kdm5c",936,-1.50503777161711,6.65594301840869e-05,-0.986351083489714
"chr10",22820128,22817263,2,"Tcf21",121,-1.46533167826807,6.70737440146871e-05,-3.32730257517823
"chrX",151913214,151913321,1,"Mir98",931,-1.23891574990732,7.06981105498107e-05,-1.97210242194572
"chr15",95528559,95075230,2,"Nell2",691,-1.30493264366376,8.15329354050408e-05,-0.537475714565039
"chrX",152368704,152343598,2,"Gpr173",939,-1.42478467215173,8.6192704107741e-05,-1.25665134496857
"chr9",74861921,74889648,1,"Onecut1",825,-1.13779619064792,8.8003281652069e-05,-1.51175237477073
"chr15",72546279,72512119,2,"Kcnk9",286,-1.70848265233366,0.000110359127738705,-0.848975585778917
"chrX",151520672,151633857,1,"Phf8",927,-1.35211164876976,0.000111167415609327,-1.27877621688217
"chr3",99199453,99199344,2,"Mir6481",724,-1.37086254029897,0.000111673892965195,-2.00625167321764
"chrX",163549736,163513904,2,"Grpr",1005,-1.06073015003176,0.000118589699059589,-1.30182688971846
"chrX",140907608,140939472,1,"Vsig1",864,-1.06451110158154,0.000123312339546522,-1.11162615642084
"chrX",164028010,163976822,2,"Car5b",1009,-1.02787416974296,0.000123312339546522,-0.962026202350834
"chr9",24774303,24720812,2,"Tbx20",215,-1.30967172786552,0.000128412124091304,-1.57945088665505
"chrX",139480367,139554580,1,"D330045A20Rik",849,-1.40077491189877,0.000145954906442495,-0.923400538455664
"chrX",160768013,160799663,1,"Rs1",992,-1.24734690375555,0.000148871789090073,-1.08312570048617
"chr6",105677581,105672338,2,"Gm15631",796,-2.1424079561355,0.000164675655628237,-0.784849970271809
"chr11",96323126,96347930,1,"Hoxb3",1222,-1.50872862198608,0.000167538158290444,-4.54343170009323
"chrX",167330571,167304926,2,"Tlr7",1033,-1.41889163021205,0.000173298489543498,-1.03457605051343
"chr1",74900721,74900658,2,"Mir375",428,-1.48109334136792,0.000174552972796218,-2.17482654812334
"chr13",71107089,71107209,1,"Mir466f-4",649,-1.76529007646547,0.000177770214281807,-1.07530190563911
"chr13",94788943,94842899,1,"Tbca",760,-1.03254076336451,0.000179465689399707,-0.797026749116555
"chrX",105344369,105344282,2,"Mir384",695,-1.22291168620503,0.00018381719363778,-1.89532691620093
"chr1",19208914,19238845,1,"Tfap2b",70,-1.8326512669372,0.000185208866491543,-3.59467981391466
"chr16",91372783,91405587,1,"Ifnar2",696,-1.25755229173833,0.000185208866491543,-0.821951002009823
"chr14",12284203,12303231,1,"3830406C13Rik",42,-1.31888280548388,0.000200019542936845,-0.44640075896725
"chr2",31470270,31520670,1,"Ass1",367,-1.78271362462424,0.000225028043936715,-2.39490422641826
"chr13",116309688,116298270,2,"Isl1",911,-1.5029972408528,0.000242565302726229,-3.11273100220808
"chrX",139210044,139238335,1,"Mum1l1",846,-1.64980735341156,0.000251150005294196,-0.554575821448636
"chr15",95654771,95623563,2,"Dbx2",693,-1.83695997820776,0.000259272334607257,-1.67255320316409
"chr11",97500340,97490783,2,"4933428G20Rik",1254,-1.7956751322165,0.000263566351762152,-0.697350666604751
"chr8",48674690,48225665,2,"Tenm3",380,-1.46351192391745,0.000266789901557534,-0.743676584118254
"chr4",89137370,89181090,1,"Mtap",529,-1.04290915532545,0.000271340948388639,-0.329300387082799
"chrX",145348894,145290359,2,"Lhfpl1",891,-1.35587606279454,0.000282263151445742,-0.602600809609134
"chr19",25610537,25623921,1,"Dmrt3",441,-1.06548282783445,0.000283513126210854,-2.48772853851802
"chr18",63708695,63989760,1,"Wdr7",454,-2.28409120894215,0.000287584573797165,-1.47875270474816
"chr12",9574442,9581500,1,"Osr1",43,-1.53993478250516,0.000293252506631907,-2.76790412845776
"chr12",118846329,118852578,1,"Sp8",828,-1.23471456920169,0.000299038958013926,-2.86087712621454
"chrX",167264329,167241123,2,"Tlr8",1032,-1.44656014612979,0.000303327565168192,-0.768700679250251
"chrX",169320372,169251538,2,"Hccs",1039,-1.09916142816704,0.000303327565168192,-0.733700575467427
"chrX",157698973,157752591,1,"Smpx",979,-1.31190892229273,0.000325502091835809,-0.744500119372672
"chrX",160907052,160902116,2,"Gja6",994,-1.37573201309634,0.00034198313033152,-1.29350120696173
"chrX",13466110,13489313,1,"Nyx",121,-1.16370485698986,0.000350078468281198,-1.21945185665409
"chrX",104482782,104506262,1,"Uprt",687,-1.06768428543887,0.000356655785318671,-0.997776544071157
"chrX",139871654,139821635,2,"Morc4",854,-1.18383239776789,0.000364053642760368,-0.785651192993927
"chrX",105120378,105123961,1,"Magee1",693,-1.06607926863896,0.000394142769960188,-1.13387606373406
"chr15",76243440,76231174,2,"Parp10",353,-1.74843980049093,0.000419262540653336,-1.06982518357758
"chr4",89294619,89274473,2,"Cdkn2a",530,-1.04929298480674,0.000442066716139164,-2.83747870527361
"chr1",74885408,74881509,2,"Fev",426,-1.14411363080382,0.000461587987062659,-3.0684278922175
"chrX",164980592,164997272,1,"Fancb",1020,-1.94032816825211,0.000507990601985289,-0.650524946808355
"chrX",142226770,142239700,1,"Nxt2",871,-1.09922146492294,0.000514096704115676,-0.611350352600649
"chr11",96194361,96196599,1,"Hoxb13",1210,-1.04850626130783,0.000516954340239549,-5.34818517306045
"chr19",37550418,37683253,1,"Exoc6",541,-1.1631988733579,0.000522590884854289,-0.526275741521607
"chrX",105379179,105379082,2,"Mir325",697,-1.1574635312982,0.00052558684384533,-1.84052724636091
"chr13",71963723,71958232,2,"Irx1",650,-1.24530152265387,0.000529008210986501,-2.47795161449563
"chr5",119625942,119634462,1,"Gm16063",902,-1.04957846750312,0.000537555765427086,-1.21570221319631
"chr12",49382883,49386867,1,"Foxg1",200,-1.3154511858397,0.000543782975806578,-2.46385370652857
"chr2",19445663,19447501,1,"Ptf1a",139,-1.15513424051097,0.000545091393071439,-2.83957932354738
"chr19",25672239,25671134,2,"2610016A17Rik",443,-1.19271700613765,0.000550615467719267,-2.91355588592875
"chrX",139333683,139338169,1,"Trap1a",848,-1.29555702107888,0.000556082758809746,-0.858501538816759
"chrX",146962513,147197277,1,"Htr2c",893,-2.21676877020282,0.000571995570572635,-0.628000289589139
"chr10",81136271,81151657,1,"Zbtb7a",644,-1.82816493099861,0.000585458957356277,-0.756200335905957
"chr11",96365758,96368253,1,"Hoxb1",1224,-1.11629243081276,0.000602931662043269,-3.74422986918767
"chrX",134809221,134791453,2,"Armcx2",792,-1.0771975700826,0.000639235167239634,-0.770100123125942
"chr16",39984371,42174242,1,"Lsamp",435,-1.07474184969082,0.000640996930616506,-0.686625459459642
"chrX",164497903,164539752,1,"Asb9",1018,-1.07609193193216,0.000701436579249884,-0.768950802232605
"chrX",166440755,166453140,1,"Trappc2",1025,-1.36428708892441,0.000705323153681993,-0.75697576870576
"chr9",99876170,99874106,2,"Sox14",1000,-1.02291037895563,0.000712382356408173,-2.99720239686626
"chrX",139563340,139673145,1,"Rnf128",850,-1.44576540724483,0.000726636766775768,-1.10922577775571
"chr12",110278129,110278048,2,"Mir1247",736,-1.01197605166134,0.000742268045036252,-2.14515246067428
"chrX",133981812,133936385,2,"Sytl4",770,-1.2790733667832,0.000757331753650959,-0.739276054201724
"chrX",88115623,86747242,2,"Il1rapl1",565,-1.23409553862359,0.000789404013690925,-1.53297747443532
"chrX",157568985,157566119,2,"Yy2",978,-1.24665565239291,0.000807584504369794,-0.565225914859886
"chrX",164980375,164936169,2,"Mospd2",1019,-1.1897651336094,0.000833920057529695,-0.568000712573725
"chrX",13846556,13517080,2,"Cask",122,-1.09160411063385,0.000850054255012218,-1.27922725418777
"chr7",51621830,51671126,1,"Slc17a6",1016,-1.75429196524318,0.00085329035811999,-0.855151096227159
"chr9",21963576,21958899,2,"Epor",187,-1.81526750525033,0.00093187766653432,-0.811450379907392
"chr9",91368972,91389348,1,"Zic4",935,-1.26271961315905,0.000943436575844707,-3.26235479979463
"chr7",19508729,19516145,1,"Trappc6a",332,-1.09353968699325,0.000970158334903513,-0.693876070637871
"chr5",113357294,113357821,1,"Aym1",808,-1.2334987429296,0.00100457862362578,-1.67015292931477
"chr7",19458494,19426075,2,"Mark4",331,-1.32756116217739,0.0010137703469451,-0.685025217082705
"chr17",85618396,85601932,2,"Six3os1",1144,-1.03084550235087,0.00101403760546545,-2.9750324601486
"chrX",134404780,134456573,1,"Drp2",779,-1.18960281973406,0.00104063326883506,-0.655500489624677
"chr10",52022502,52028471,1,"Vgll2",283,-1.14583076099045,0.00106276979254069,-1.63925343517807
"chr8",57320859,57304414,2,"AV026068",397,-1.21093143428265,0.00106276979254069,-2.28935336584354
"chr12",110278068,110275384,2,"Dio3os",735,-1.12656026628792,0.00110378494515652,-1.77385141173144
"chrX",159210307,159368244,1,"Rps6ka3",982,-1.12942779552683,0.00111009084092688,-0.825851290738064
"chr8",78436652,78433009,2,"Pou4f2",601,-1.29725807058854,0.00113387659307687,-2.3908515514708
"chr8",29219636,28646717,2,"Unc5d",267,-1.43166731561717,0.00114051544007625,-0.41679946750047
"chr10",87058046,87230599,1,"1700113H08Rik",731,-1.052497400549,0.00117738426957664,-0.270274948974812
"chrX",147158210,147158321,1,"Mir448",900,-2.46876307292396,0.00121739585264612,-0.603700541786214
"chr1",78488897,78417958,2,"Farsb",464,-1.70344289027446,0.00122328758094272,-0.391550206464369
"chr16",94290286,94129306,2,"Hlcs",735,-1.18092178738138,0.00123521407685433,-1.16542668575669
"chr4",115088708,115093894,1,"Pdzk1ip1",700,-1.40163676256299,0.00130674681446528,-0.818050640653732
"chr9",89909775,90026979,1,"Rasgrf1",929,-1.00139325367132,0.00130674681446528,-0.713476188044398
"chr13",72816763,72809601,2,"D730050B12Rik",653,-1.36602508825931,0.00130995390629186,-0.968800485348955
"chrX",142739000,142739097,1,"Mir652",876,-1.16053765026386,0.00133009331420638,-1.73630266450234
"chrX",105391754,105348282,2,"5330434G04Rik",696,-1.16418850513406,0.00134379161037672,-0.687150450759893
"chrX",159532668,159593081,1,"Bclaf3",985,-1.29243622592591,0.0013492782451802,-0.819425830841317
"chr3",96345287,96358480,1,"Platr30",674,-1.16839838685414,0.00139465175070515,-0.622625225864769
"chrX",164373522,164402650,1,"Vegfd",1015,-1.90212230952058,0.00147549834856362,-0.753600148782914
"chr6",64729146,64731243,1,"Atoh1",480,-1.27182459584977,0.00155077711456558,-2.04992522660585
"chrX",135993820,135995359,1,"Arxes2",811,-1.43033662181886,0.00160387618021541,-1.09410030651332
"chr16",60605531,59653483,2,"Epha6",574,-1.77719028301061,0.00160685460769439,-0.411049820621554
"chr5",121836859,121815481,2,"Sh2b3",946,-1.65830005831363,0.00162371922977815,-0.475550116792198
"chrX",162760372,162779090,1,"Rbbp7",999,-1.05699081938163,0.00166404687591733,-0.648000946343384
"chrX",164258193,164192842,2,"Bmx",1013,-1.15999287087133,0.00177479641303808,-0.844750506908936
"chr13",40361450,40001882,2,"Ofcc1",337,-1.13467916069141,0.00180842542360066,-0.444650109301674
"chr5",119200018,119194313,2,"Gm7538",900,-1.02482706412242,0.00181269012306819,-0.622950617330679
"chrX",144556239,144552758,2,"Mageb16-ps1",888,-1.44316394588391,0.0019817004264023,-0.997976084720595
"chr14",32464850,32462437,2,"Slc18a3",207,-1.03084048334906,0.00209195346030966,-1.61380082035645
"chr2",74721978,74729160,1,"Hoxd4",680,-1.08108906877501,0.00212366685252716,-2.37370324038874
"chr11",119390472,119390561,1,"Mir1932",1757,-1.20434511969491,0.00215096276638442,-1.63520055859215
"chr5",101664711,101659184,2,"Nkx6-1",664,-1.10138907622563,0.0021659947114388,-4.11477937593624
"chr9",74110334,74283203,1,"Wdr72",823,-2.00911258003752,0.00221083458094858,-0.796876162599012
"chr9",104547286,105034544,1,"Cpne4",1036,-1.1050496271862,0.00221498576735501,-0.61720036708282
"chrX",144688180,144377327,2,"Trpc5",886,-1.20549092057781,0.00221816699519974,-1.40457664906466
"chr5",120711669,120680264,2,"Dtx1",919,-1.01550604177149,0.00222676028739538,-0.820175945969302
"chr7",24611328,24629297,1,"Phldb3",455,-1.55956501636951,0.00230190919553157,-0.564575335612369
"chr17",34204479,34216321,1,"Tap2",554,-1.41378991688641,0.00231473811225772,-0.974400776892812
"chrX",133851008,133865577,1,"Tnmd",767,-1.36810900504018,0.00234034984077489,-0.620826101743795
"chrX",165326981,165129017,2,"Glra2",1021,-1.53143217854333,0.00235004655301976,-0.849551030022265
"chr5",119108236,119114543,1,"1700081H04Rik",899,-1.00524391011269,0.00257023594717314,-0.750350469284111
"chr7",68618456,68620009,1,"Gm5334",1106,-1.6630873519784,0.00260493838058869,-0.513075818243344
"chr2",146855889,146970089,1,"Kiz",1531,-1.27997856859618,0.00266189298975186,-1.15375271247136
"chr13",98637410,98634978,2,"Tmem174",796,-1.03092050234449,0.00272751703632957,-1.04210185165295
"chr5",15934691,16374511,1,"Cacna2d1",66,-2.29343036394208,0.00283651674532345,-1.34957672504845
"chr10",127165156,127172340,1,"B4galnt1",988,-1.2973882639243,0.00287139490916473,-1.05102674830659
"chr5",121819273,121819209,2,"Mir7031",947,-1.63464817947718,0.00293609293224482,-0.5602250217505
"chrX",147010601,147010686,1,"Mir1264",898,-2.49795483716902,0.00301739482521746,-0.165149980604282
"chrX",151859562,151859637,1,"Mir3113",929,-1.54842670011177,0.0030277858433341,-1.04752613807876
